crash_time, benchmark, fuzzer, trial, bug_type, stack_hash, bug_addr, bug_code_line1, bug_code_line2, bug_code_line3
1707, aspell_aspell_fuzzer, aflchurn_noage, trial-754249, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
18211, aspell_aspell_fuzzer, aflchurn_noage, trial-754250, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
2049, aspell_aspell_fuzzer, aflchurn_noage, trial-754251, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
45116, aspell_aspell_fuzzer, aflchurn_noage, trial-754252, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1778, aspell_aspell_fuzzer, aflchurn_noage, trial-754253, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
33670, aspell_aspell_fuzzer, aflchurn_noage, trial-754254, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
14527, aspell_aspell_fuzzer, aflchurn_noage, trial-754255, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
6767, aspell_aspell_fuzzer, aflchurn_noage, trial-754256, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
7233, aspell_aspell_fuzzer, aflchurn_noage, trial-754257, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1439, aspell_aspell_fuzzer, aflchurn_noage, trial-754258, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8596, aspell_aspell_fuzzer, aflchurn_noage, trial-754259, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1449, aspell_aspell_fuzzer, aflchurn_noage, trial-754260, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1673, aspell_aspell_fuzzer, aflchurn_noage, trial-762904, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1976, aspell_aspell_fuzzer, aflchurn_noage, trial-763117, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3542, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754621, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
4923, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754623, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8188, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754624, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8722, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754625, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8876, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754626, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
10640, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754627, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3102, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754628, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
9412, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754629, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3594, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754630, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3201, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754631, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3149, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754632, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
10823, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754633, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3121, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754634, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3576, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754635, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3447, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754636, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
11351, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754637, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3150, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754638, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3100, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754639, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3459, aspell_aspell_fuzzer, aflchurn_nochurn, trial-754640, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
60522, aspell_aspell_fuzzer, aflchurn_nochurn, trial-757739, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3255, aspell_aspell_fuzzer, aflchurn_nochurn, trial-757987, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3326, aspell_aspell_fuzzer, aflchurn_nochurn, trial-762976, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3135, aspell_aspell_fuzzer, aflchurn_nochurn, trial-762990, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
10412, aspell_aspell_fuzzer, aflchurn_texp03, trial-756822, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1298, aspell_aspell_fuzzer, aflchurn_texp03, trial-756823, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8371, aspell_aspell_fuzzer, aflchurn_texp03, trial-756824, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
894, aspell_aspell_fuzzer, aflchurn_texp03, trial-756825, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
14387, aspell_aspell_fuzzer, aflchurn_texp03, trial-756826, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
17116, aspell_aspell_fuzzer, aflchurn_texp03, trial-756827, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8375, aspell_aspell_fuzzer, aflchurn_texp03, trial-756828, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
2253, aspell_aspell_fuzzer, aflchurn_texp03, trial-756829, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1198, aspell_aspell_fuzzer, aflchurn_texp03, trial-756831, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1625, aspell_aspell_fuzzer, aflchurn_texp03, trial-756832, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8170, aspell_aspell_fuzzer, aflchurn_texp03, trial-756833, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
943, aspell_aspell_fuzzer, aflchurn_texp03, trial-756834, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1273, aspell_aspell_fuzzer, aflchurn_texp03, trial-756835, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1338, aspell_aspell_fuzzer, aflchurn_texp03, trial-756836, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8355, aspell_aspell_fuzzer, aflchurn_texp03, trial-756837, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
18944, aspell_aspell_fuzzer, aflchurn_texp03, trial-756838, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1135, aspell_aspell_fuzzer, aflchurn_texp03, trial-756839, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1693, aspell_aspell_fuzzer, aflchurn_texp03, trial-756840, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1212, aspell_aspell_fuzzer, aflchurn_texp03, trial-757685, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
959, aspell_aspell_fuzzer, aflchurn_texp03, trial-757776, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8928, aspell_aspell_fuzzer, aflchurn_texp03, trial-757978, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
2817, aspell_aspell_fuzzer, aflchurn_texp03, trial-758240, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1175, aspell_aspell_fuzzer, aflchurn_texp03, trial-763035, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
