subject,        depth,  age,    churn,  location
yara_dotnet_fuzzer,     3,      1576,   1,      libyara/modules/dotnet/dotnet.c:1807
yara_dotnet_fuzzer,     4,      2340,   1,      libyara/modules.c:158
yara_dotnet_fuzzer,     5,      50,     6,      libyara/exec.c:1306
yara_dotnet_fuzzer,     6,      1030,   1,      libyara/scanner.c:470
yara_dotnet_fuzzer,     7,      1030,   1,      libyara/scanner.c:571
yara_dotnet_fuzzer,     8,      71,     14,     libyara/rules.c:229
yara_dotnet_fuzzer,     9,      750,    1,      tests/oss-fuzz/dotnet_fuzzer.cc:76
aspell_aspell_fuzzer,   0,      2954,   1,      ./common/objstack.hpp:95
aspell_aspell_fuzzer,   1,      2954,   1,      common/config.cpp:409
aspell_aspell_fuzzer,   2,      2954,   1,      common/config.cpp:435
aspell_aspell_fuzzer,   3,      2954,   1,      modules/filter/sgml.cpp:142
aspell_aspell_fuzzer,   4,      2954,   1,      lib/new_filter.cpp:191
aspell_aspell_fuzzer,   5,      2954,   1,      lib/new_checker.cpp:21
aspell_aspell_fuzzer,   6,      2954,   1,      common/objstack.cpp:50
aspell_aspell_fuzzer,   7,      2954,   1,      common/config.cpp:409
aspell_aspell_fuzzer,   8,      2954,   1,      common/config.cpp:435
aspell_aspell_fuzzer,   9,      2954,   1,      modules/filter/sgml.cpp:142
aspell_aspell_fuzzer,   10,     2954,   1,      lib/new_filter.cpp:191
aspell_aspell_fuzzer,   11,     2954,   1,      lib/new_checker.cpp:21
unbound_fuzz_1_fuzzer,  0,      4660,   1,      util/data/dname.c:243
unbound_fuzz_1_fuzzer,  1,      4611,   1,      iterator/iter_scrub.c:416
systemd_fuzz-varlink,   0,      29,  1,      ../../src/systemd/src/fuzz/fuzz-varlink.c:126
usrsctp_fuzzer_connect,         0,      808,    2,      usrsctplib/netinet/sctp_auth.c:1549
usrsctp_fuzzer_connect,         1,      2895,   1,      usrsctplib/netinet/sctp_output.c:4174
usrsctp_fuzzer_connect,         2,      2895,   1,      usrsctplib/netinet/sctp_output.c:9360
usrsctp_fuzzer_connect,         3,      2895,   1,      usrsctplib/netinet/sctp_output.c:10725
usrsctp_fuzzer_connect,         4,      2895,   1,      usrsctplib/netinet/sctp_input.c:6130
usrsctp_fuzzer_connect,         5,      1289,   2,      usrsctplib/user_socket.c:3518
usrsctp_fuzzer_connect,         6,      9,      2,      fuzzer/fuzzer_connect.c:461
usrsctp_fuzzer_connect,         7,      2895,   1,      usrsctplib/user_mbuf.c:200
htslib_hts_open_fuzzer,         0,      1421,   1,      vcf.c:2462
htslib_hts_open_fuzzer,         1,      2342,   14,     vcf.c:2841
htslib_hts_open_fuzzer,         2,      475,    1,      test/fuzz/hts_open_fuzzer.c:107
openvswitch_odp_target, 0, 2613, 2, lib/netlink.c:598
picotls_fuzz-asn1,      0,      569,    2,      lib/asn1.c:86
picotls_fuzz-asn1,      1,      569,    2,      lib/asn1.c:254
picotls_fuzz-asn1,      2,      251,    3,      lib/minicrypto-pem.c:118
picotls_fuzz-asn1,      3,      344,    1,      lib/minicrypto-pem.c:182
picotls_fuzz-asn1,      4,      1,      1,      fuzz/fuzz-asn1.c:102
libxml2_libxml2_xml_reader_for_file_fuzzer,     0,      1,      2,      xmlreader.c:371
libxml2_libxml2_xml_reader_for_file_fuzzer,     1,      5841,   1,      xmlreader.c:565
libxml2_libxml2_xml_reader_for_file_fuzzer,     2,      305,    1,      xmlreader.c:2294
libxml2_libxml2_xml_reader_for_file_fuzzer,     3,      6787,   1,      entities.c:145
libxml2_libxml2_xml_reader_for_file_fuzzer,     4,      6787,   1,      entities.c:159
